Postcode4,rivm_nsl_2
"1037",24.25602
"1041",20.15517
"1073",26.66702
"1074",25.79481
"1072",26.70074
"1017",25.84574
"1019",22.72999
"1012",26.50724
"1016",25.62881
"1051",22.96171
"1056",24.61426
"1093",28.12759
"1094",22.24769
"1098",20.63353
"1097",25.11690
"1092",23.44185
"1091",25.65527
"1079",24.50932
"1075",29.28934
"1054",24.81288
"1058",31.13095
"1062",27.40861
"1066",24.34539
"1069",21.50761
"1068",24.77835
"1065",24.02196
"1064",21.25027
"1061",23.37067
"1063",21.38363
"1067",18.21653
"1011",26.65390
"1078",24.77733
"1096",25.41564
"1015",25.69151
"1053",24.70054
"1052",29.15759
"1055",23.64894
"1057",23.67994
"1021",22.63058
"1024",20.56977
"1018",24.93532
"1107",17.16862
"1106",18.33013
"1104",19.61276
"1103",20.40768
"1109",19.04680
"1031",22.17908
"1081",21.34526
"1059",29.34217
"1060",21.51579
"1071",25.30222
"1077",30.59705
"1076",25.87111
"1043",21.78307
"1046",19.71429
"1045",18.47134
"1047",16.73720
"1032",24.92715
"1023",20.88624
"1025",21.34000
"1028",12.91281
"1026",15.37021
"1027",16.33679
"1035",21.13206
"1034",19.99623
"1095",
"1033",25.06780
"1042",20.03353
"1044",19.07958
"1013",22.73286
"1014",22.14788
"1036",20.21617
"1022",21.99702
"1082",21.78688
"1083",22.23115
"1086",
"1087",20.42180
"1102",21.68154
"1101",22.57047
"1105",21.77341
"1108",17.56304
"1384",24.32813
"1383",15.49480
"1382",20.73167
"1381",15.40018
